name,RA_ICRS,DE_ICRS,r50,r50_arcmin,rmax_arcmin,diamMAX_arcmin,N,pmRA,e_pmRA,pmDE,e_pmDE,Vr,e_Vr,Nvr,Plx,e_Plx,sigPM,flagdispPM,age,e_age,dist_iso,e_dist_iso,FeH,e_FeH,Av,e_Av,AG,e_AG,dist_PLX,e_dist_PLX,Diam_pc,DiamMax_pc,delta_dist,likelihood,BIC,prior_FEH,prior_AV,REF    
UBC557              ,  256.1722,  -38.9731,   0.134,     8.029,      14.945,      29.889,      60,   1.458,   0.127,  -0.390,   0.112,     nan,     nan,       0,   0.647,   0.070,   0.170,       1,   7.866,   0.253,    1489,      48,   0.203,   0.074,   1.694,   0.103,   1.413,   0.245,    1561,      47,       8,      14,     -72,    -503.221,    1022.820,       1,       1,       1 
UBC559              ,  259.1038,  -39.6574,   0.268,    16.060,      28.363,      56.725,     329,  -0.501,   0.118,  -1.405,   0.098,     nan,     nan,       0,   0.392,   0.058,   0.153,       1,   6.955,   0.091,    2302,     189,   0.287,   0.171,   3.175,   0.046,   1.650,   0.986,    2561,     145,      24,      43,    -259,    -412.934,     849.052,       1,       1,       1 
UBC560              ,  254.7966,  -36.0649,   0.060,     3.585,      10.227,      20.454,      39,   0.788,   0.164,  -0.657,   0.072,  -3.358,   0.597,       2,   0.654,   0.068,   0.179,       1,   7.891,   0.946,    1576,      70,  -0.096,   0.234,   2.223,   0.376,   1.596,   0.187,    1531,      42,       4,      10,      44,    -515.505,    1045.665,       1,       1,       1 
UBC561              ,  261.1995,  -37.5076,   0.062,     3.742,      10.848,      21.697,      87,   0.160,   0.184,  -3.955,   0.135,     nan,     nan,       0,   0.590,   0.098,   0.228,       1,   7.955,   0.741,    1624,      55,   0.163,   0.148,   2.801,   0.128,   2.249,   0.459,    1675,      57,       4,      11,     -51,    -253.800,     525.463,       1,       1,       1 
UBC562              ,  262.7726,  -37.8753,   0.110,     6.598,      17.547,      35.094,     125,  -0.140,   0.129,  -2.617,   0.090,     nan,     nan,       0,   0.400,   0.065,   0.158,       1,   6.815,   0.119,    2365,     207,   0.359,   0.112,   3.522,   0.101,   1.827,   0.732,    2543,     137,      10,      26,    -178,    -268.847,     557.008,       1,       1,       1 
UBC563              ,  256.7456,  -30.7043,   0.064,     3.816,       9.541,      19.082,      36,  -0.529,   0.105,  -4.184,   0.101,     nan,     nan,       0,   0.880,   0.045,   0.146,       1,   8.602,   0.392,    1115,      23,   0.125,   0.121,   1.658,   0.087,   1.556,   0.418,    1150,      27,       3,       7,     -35,    -582.201,    1178.736,       1,       1,       1 
UBC57               ,   62.9666,   42.7311,   0.072,     4.305,      12.651,      25.302,      59,   3.149,   0.261,  -2.230,   0.157,   5.209,   0.470,       3,   0.467,   0.102,   0.305,       1,   9.236,   0.137,    1602,      83,  -0.152,   0.149,   1.523,   0.166,   1.140,   0.335,    2078,      84,       6,      16,    -476,    -421.766,     859.842,       1,       1,       1 
UBC571              ,  267.3428,  -29.5811,   0.059,     3.526,       8.518,      17.036,      70,  -1.040,   0.179,  -2.867,   0.123, -41.234,   0.686,       2,   0.347,   0.053,   0.217,       1,   8.310,   0.528,    2624,     130,   0.302,   0.129,   2.834,   0.110,   2.437,   0.623,    2817,     183,       6,      14,    -193,    -374.257,     765.508,       1,       1,       1 
UBC572              ,  280.4161,  -21.9826,   0.054,     3.263,       8.432,      16.864,      28,   0.989,   0.111,  -0.641,   0.145, -29.445,   0.524,       2,   0.640,   0.049,   0.183,       1,   8.788,   0.513,    1542,      63,  -0.193,   0.246,   2.321,   0.488,   1.383,   0.436,    1538,      45,       3,       8,       3,    -480.227,     973.783,       1,       1,       1 
UBC574              ,  282.3174,   -4.3879,   0.107,     6.449,      11.145,      22.290,      90,   1.073,   0.099,   0.181,   0.093,  -8.703,   0.614,       4,   0.594,   0.071,   0.136,       1,   7.824,   1.035,    1738,      19,   0.199,   0.201,   2.632,   0.573,   1.978,   0.000,    1672,      63,       7,      11,      65,    -391.014,     800.027,       1,       1,       1 
UBC576              ,  284.7042,    0.4172,   0.045,     2.678,       9.715,      19.431,      28,  -0.737,   0.084,  -3.582,   0.107,     nan,     nan,       0,   0.729,   0.058,   0.136,       1,   7.392,   0.774,    1332,      36,   0.099,   0.220,   2.964,   0.204,   2.247,   0.785,    1352,      39,       3,       8,     -20,    -302.301,     617.930,       1,       1,       1 
UBC578              ,  301.5958,   33.0195,   0.076,     4.544,       8.193,      16.387,      66,  -2.691,   0.110,  -4.976,   0.140,     nan,     nan,       0,   0.192,   0.056,   0.178,       1,   6.729,   0.098,    5195,     233,  -0.100,   0.114,   2.697,   0.055,     nan,     nan,    4988,     610,      14,      24,     206,    -390.305,     797.369,       1,       1,       1 
UBC580              ,  303.2010,   35.8967,   0.155,     9.317,      21.148,      42.296,     122,  -2.412,   0.117,  -4.505,   0.113,  -5.461,   1.607,       4,   0.245,   0.044,   0.162,       1,   6.867,   0.302,    3953,     308,   0.216,   0.173,   2.480,   0.140,   2.408,   0.497,    4029,     295,      22,      50,     -76,    -518.647,    1056.509,       1,       1,       1 
UBC582              ,  299.8428,   38.5482,   0.060,     3.627,       9.400,      18.799,      17,  -3.063,   0.093,  -7.819,   0.089,     nan,     nan,       0,   0.897,   0.031,   0.129,       1,   7.248,   0.077,    1103,      13,  -0.014,   0.088,   0.648,   0.096,   0.455,   0.174,    1105,      14,       3,       7,      -2,    -524.381,    1060.094,       1,       1,       1 
